id;match;team;player;total_pass;accurate_pass;total_long_balls;accurate_long_balls;goal_assist;accurate_own_half_passes;total_own_half_passes;accurate_opposition_half_passes;total_opposition_half_passes;aerial_won;duel_won;total_clearance;ball_recovery;was_fouled;good_high_claim;saved_shots_from_inside_the_box;saves;punches;minutes_played;touches;rating;possession_lost_ctrl;expected_assists;total_ball_carries_distance;ball_carries_count;total_progression;keeper_save_value;rating_version_original;rating_version_alternative;total_shots;goals_prevented;pass_value_normalized;dribble_value_normalized;defensive_value_normalized;goalkeeper_value_normalized;statistics_type_sport_slug;statistics_type_name;aerial_lost;duel_lost;total_tackle;won_tackle;unsuccessful_touch;fouls;challenge_lost;outfielder_block;best_ball_carry_progression;total_progressive_ball_carries_distance;progressive_ball_carries_count;interception_won;total_cross;accurate_cross;dispossessed;big_chance_created;shot_off_target;blocked_scoring_attempt;total_offside;expected_goals;key_pass;shot_value_normalized;total_contest;won_contest;on_target_scoring_attempt;goals;expected_goals_on_target;total_keeper_sweeper;accurate_keeper_sweeper;own_goals;big_chance_missed;last_man_tackle;hit_woodwork;error_lead_to_a_shot;clearance_off_line;error_lead_to_a_goal;penalty_conceded;penalty_faced;penalty_won;penalty_miss;penalty_save;source_id;source;edited
01KNCJNCKH44BDJ6SDPCP4R2H3;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKA2ESRQ4M0318TEP1P;20;18;2;1;0;5;5;13;15;;3;1;4;1;;;;;76;34;6.5;8;0.126071;81.272821777523;8;36.646300930108;;6.5;6.8;1;;0.16;-0.22;-0.08;;football;player;1;4;1;;;;;;23.421876506853;25.049899720358;1;;4;1;;;;;;0.1819;2;-0.42;4;1;1;;0.6246;;;;;;;;;;;;;;;15237889:1963:1015733;sofascore;false
01KNCJNCKH62Y3CF4070QSSQFE;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCKAZGKT299F0T37GSHE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;football;player;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1977:1117032;sofascore;false
01KNCJNCKH6QRHMR0QKHW1P8SB;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCKANJ9Q6KHDK6ZZEZ1B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;football;player;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1977:1829022;sofascore;false
01KNCJNCKH7G0HH0RQCT6YQG0T;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKA441MBQMH75CDHDM3;47;42;3;1;0;29;29;13;18;4;7;4;2;;;;;;90;58;6.5;8;0.0201241;145.96356950436;21;-12.881987979363;;6.5;6.4;0;;0.18;0.03;-0.3;;football;player;1;6;2;;;3;1;;;;;;1;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;15237889:1963:874729;sofascore;false
01KNCJNCKH9G2A0RDFZFAWADXB;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKA6TNJA1Z5XE0QM207;34;27;;;0;17;21;10;13;;3;2;1;1;;;;;83;49;5.9;13;0.108348;85.752082291472;14;26.56161239176;;5.9;6.5;0;;0.15;0.14;-0.89;;football;player;;3;2;1;1;1;;1;14.074028893493;29.477645356375;2;;3;;1;;;;;;1;;1;;;;;;;1;;;;;;;;;;;;15237889:1963:984896;sofascore;false
01KNCJNCKH9JBQAKYDA5D33YNS;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKA5FJDDZA8688NCN18;13;9;;;0;2;2;7;11;3;6;;1;2;;;;;83;26;6.3;10;0.0216726;120.11127326391;10;86.071578322805;;6.3;6.4;1;;-0.35;0.29;-0.06;;football;player;;5;;;2;2;;;15.068866414183;88.692262564552;6;;;;;;1;;;0.0415;1;-0.3;5;1;;;;;;;;;;;;;;;;;;15237889:1963:1835889;sofascore;false
01KNCJNCKHCZHGAE8P5JPWE7W1;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKADPPYD401GW65F553;18;14;3;3;0;5;9;9;9;4;9;;2;2;;;;;90;34;8.3;9;0.457223;92.066854054472;10;16.709710016577;;8.3;7.9;3;;0.29;0.11;-0.02;;football;player;;6;2;2;1;3;;;20.804173475745;20.943087546969;1;1;;;1;1;1;;;0.2834;2;0.49;3;1;2;1;0.8339;;;;;;;;;;;;;;;15237889:1963:1094179;sofascore;false
01KNCJNCKHE3F1881BSRYKKZ5R;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCK91BC8HVNVPSG094SB;17;16;1;1;0;6;6;10;11;;5;;1;5;;;;;90;39;6.3;11;0.057431;160.53845942606;13;41.837174284875;;6.3;6.8;4;;-0.12;0.18;-0.03;;football;player;2;10;;;1;1;;;19.691828488482;67.295830185232;3;;3;1;3;;4;;1;0.1374;2;-0.48;4;;;;;;;;;;;;;;;;;;;15237889:1977:34705;sofascore;false
01KNCJNCKHG0ASK01KVZXKNZYZ;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKANRY1198S5205ZPWP;1;1;1;1;0;1;1;;;;;;;;;;;;14;5;6.9;1;0.0000033;32.030335410599;2;12.045687959634;;6.9;7.4;2;;-0.01;0.26;-0.01;;football;player;1;3;;;1;2;;;21.575629375542;21.615480586839;1;;;;;;;;;0.2943;;0.37;;;2;1;0.6252;;;;1;;;;;;;;;;;15237889:1963:1150391;sofascore;false
01KNCJNCKHGB7AKF9NAGE5F3EF;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCK9EYZMBR98XZXN0MSV;18;15;2;1;0;5;5;10;13;1;5;1;2;;;;;;76;28;7.6;5;0.0297067;95.557610465786;8;48.451425682375;;7.6;7.9;1;;0.23;0.07;0.13;;football;player;;;2;2;1;;;;30.094106037937;56.59702602292;2;1;;;;;;;;0.1127;2;0.32;2;2;1;1;0.1515;;;;;;;;;;;;;;;15237889:1977:1170954;sofascore;false
01KNCJNCKHGGA3R5C2JNWH3K7B;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCKA5AZWJWRAQRMH4PK6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;football;player;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1977:1122552;sofascore;false
01KNCJNCKHGHYJSMDT4TYQVQ3H;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKAF5PH46CEJJ6M5PYB;54;48;7;5;0;34;34;14;20;;2;1;;;;;;;90;59;6.8;7;0.00863759;218.64555727499;30;77.629139621969;;6.8;6.7;0;;0.05;0.12;-0.13;;football;player;;1;2;;;;1;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;15237889:1963:840202;sofascore;false
