id;slug;name;code3;short_name;complete_name;stadium;foundation;primary_color;secondary_color;text_color;source_ref;source;first_scraped_at;last_scraped_at;created_at;updated_at
01KNDCN5B7XRN2VXWMSHQ0DX6T;sao-paulo;São Paulo;SPA;São Paulo;São Paulo;;;#ffffff;#000000;#000000;1981;sofascore;2026-04-04T23:18:39.207Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.207Z;2026-04-04T23:18:39.207Z
01KNDCN5B7XX8SE9SK7HQD267R;fc-krasnodar;FC Krasnodar;KRA;Krasnodar;FC Krasnodar;;;#005e37;#000000;#000000;34425;sofascore;2026-04-04T23:18:39.207Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.207Z;2026-04-04T23:18:39.207Z
01KNDCN5B7Y3HQT98RSN9GC4KZ;gremio;Grêmio;GRE;Grêmio;Grêmio;;;#3399ff;#000033;#000033;5926;sofascore;2026-04-04T23:18:39.207Z;2026-04-04T23:29:00.461Z;2026-04-04T23:18:39.207Z;2026-04-04T23:18:39.207Z
01KNDCN5B7ZBJADH1D9NQA7P5P;athletico;Athletico;CAP;Athletico;Athletico;;;#000000;#cc0000;#cc0000;1967;sofascore;2026-04-04T23:18:39.207Z;2026-04-04T23:29:00.463Z;2026-04-04T23:18:39.207Z;2026-04-04T23:18:39.207Z
01KNDCN5B805RZ6CBGJWADRBHX;brazil-u17;Brazil U17;BRA;Brazil U17;Brazil U17;;;#ffff00;#009933;#009933;22586;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.463Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B80PDAR6HRRC9SGCFF;bologna;Bologna;BOL;Bologna;Bologna;;;#003366;#cc0000;#cc0000;2685;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B80T8G6SFYX74H2TVA;palestino;Palestino;PAL;Palestino;Palestino;;;#ffffff;#000000;#000000;3157;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B80XJDZZ4A703CPFTP;zenit-st-petersburg;Zenit St. Petersburg;ZEN;Zenit;Zenit St. Petersburg;;;#95e4ff;#ffffff;#ffffff;2321;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B812HFQZGP463AH6WX;atletico-mineiro-u20;Atlético Mineiro U20;CAM;Atlético-MG U20;Atlético Mineiro U20;;;#000000;#ffffff;#ffffff;200653;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B81F052248C7WG2J2N;fluminense;Fluminense;FLU;Fluminense;Fluminense;;;#660000;#006633;#006633;1961;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B81HZKF6NRRMEFAKY0;goztepe;Göztepe;GOZ;Göztepe;Göztepe;;;#ffcc00;#cc0001;#cc0001;3054;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B81KQBFVYP8RXBMHMD;coritiba;Coritiba;COR;Coritiba;Coritiba;;;#ffffff;#009966;#009966;1982;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.463Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B82680XMNWF7CHMF6P;red-bull-bragantino-ii;Red Bull Bragantino II;RBB;RB Bragantino II;Red Bull Bragantino II;;;#363636;#d8d8d6;#d8d8d6;88734;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B84G3P8669YTRMWNM8;shanghai-port;Shanghai Port;SHP;Port;Shanghai Port;;;#d90000;#840000;#840000;41537;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
