id;slug;name;short_name;country;source_name;source_ref;source;first_scraped_at;last_scraped_at;created_at;updated_at
01KNDAWE7P5MXPS1BTCEK460J7;belo-horizonte;Belo Horizonte;Belo Horizonte;01KNDAWE6ZYSSJRVV5EMGMPBWY;Belo Horizonte;Belo Horizonte;sofascore;2026-04-04T22:47:40.534Z;2026-04-04T22:47:40.534Z;2026-04-04T22:47:40.534Z;2026-04-04T22:47:40.534Z
01KNDAWE7PZVTHH9E16H3FJT98;sao-paulo;São Paulo;São Paulo;01KNDAWE6ZYSSJRVV5EMGMPBWY;São Paulo;São Paulo;sofascore;2026-04-04T22:47:40.534Z;2026-04-04T22:47:40.534Z;2026-04-04T22:47:40.534Z;2026-04-04T22:47:40.534Z
