id;match;team;player;jersey_number;position;substitute;is_missing;slot;minutes_played;rating;source_ref;source;edited
01KNDAWE7VXNJDAVD97JRYTRCX;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7Q90VXC95PE58762VS;01KNDAWE7QPV671DG1X5GFM6GC;16;D;false;false;7;90;7.1;15237889:1977:851150;sofascore;false
01KNDAWE7W00D0HX9CXYF9T10B;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7S7059WXW1VFKZJJ6G;4;D;true;false;;15;6.8;15237889:1963:1106603;sofascore;false
01KNDAWE7W3ZTHWNF1KCD5BSN6;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7SWXDYRM2E03V5GV6V;23;M;true;false;;;;15237889:1963:840020;sofascore;false
01KNDAWE7W4M0AH6AHA8GPC8YZ;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7SWEJE47DXBFMFA0SR;14;G;true;false;;;;15237889:1963:34141;sofascore;false
01KNDAWE7W7PE2ZKWPA4P0W5QZ;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7RXY3ZN5AFB5ECFJHW;18;M;false;false;9;85;6.3;15237889:1963:986233;sofascore;false
01KNDAWE7W8EVMHFRB6VYH0RMY;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7R3MS6EQCHAW7F1XP5;19;M;false;false;11;76;6.5;15237889:1963:1015733;sofascore;false
01KNDAWE7W8H8EPT9VKXFPSM6Y;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7SN4ZATM9VSRFN127J;32;M;true;false;;;;15237889:1963:973533;sofascore;false
01KNDAWE7W9JX0PT12DRWV0F3K;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7SY94D74ZQER1BS0KE;;;;true;;;;15237889:1963:152276;sofascore;false
01KNDAWE7WAPRM6KGE1ZRPJT09;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7SH0N38BEFKMR7RYKJ;;;;false;;;;15237889:1963:1942460;sofascore;false
01KNDAWE7WCFH24HSRE21R44B4;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7S69FQE1BRS53456H6;9;F;true;false;;14;6.9;15237889:1963:1150391;sofascore;false
01KNDAWE7WCZ4MRN8SAZ9HYRDT;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7S4CXY0PC25F1FW7GK;;;;true;;;;15237889:1963:331397;sofascore;false
01KNDAWE7WD4SBXFPM2B9FD0Z0;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7STB8ZAHYVN8R0GH8X;42;F;false;false;10;90;8.3;15237889:1963:1094179;sofascore;false
01KNDAWE7WJVE3CM3YDSD1EM1G;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7S17HCHYRT0KDBD4A6;56;D;true;false;;15;6.8;15237889:1963:1633501;sofascore;false
01KNDAWE7WK32KT79JNPG2R2V3;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7S54F5TP4N05H39NX9;3;D;true;false;;;;15237889:1963:973737;sofascore;false
01KNDAWE7WSZYYRRP2KJDYSB8R;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7SA02P1KVPCTWPF4QB;31;F;true;false;;13;6.6;15237889:1963:1597267;sofascore;false
01KNDAWE7WTB3FTPJ79F5KE7J3;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7SCGY1RQD5K6A7KX6S;6;D;true;false;;;;15237889:1963:1116665;sofascore;false
01KNDAWE7WXA4S21S6H6K15H90;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7S0QJW7KEB6THWHDH3;48;M;true;false;;;;15237889:1963:2057364;sofascore;false
01KNDAWE7WXVRD5XRNWFGEW64P;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7SZ4RV7QVXW8PJ460S;;;;true;;;;15237889:1963:885179;sofascore;false
01KNDAWE7WYBFTJM5SMCRRY26B;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7SR1BYBYX2X8TC5837;50;M;true;false;;;;15237889:1963:1884646;sofascore;false
01KNDAWE7WZ1G5Y804K81KBY5B;01KNDAWE7SW0N3R8XB5XB1FHDT;01KNDAWE7QAGKJY7409MEKWKJC;01KNDAWE7S1Q7SJQVSSTNF8DG2;37;F;true;false;;15;6.5;15237889:1963:1485294;sofascore;false
