id;slug;name;short_name;country;source_ref;source;first_scraped_at;last_scraped_at;created_at;updated_at
01KNDAWE7Q5FP8AXBGSMJT9W3K;abel-ferreira;Abel Ferreira;A. Ferreira;01KNDAWE71MT9D88M9DKBQ3G4S;784709;sofascore;2026-04-04T22:47:40.535Z;2026-04-05T00:59:27.073Z;2026-04-04T22:47:40.535Z;2026-04-04T22:47:40.535Z
01KNDAWE7Q6XM1PKWNYFAYJFRM;eduardo-dominguez;Eduardo Dominguez;E. Dominguez;01KNDAWE719PKXHTFZQDZBEK5Z;785591;sofascore;2026-04-04T22:47:40.535Z;2026-04-05T00:59:27.073Z;2026-04-04T22:47:40.535Z;2026-04-04T22:47:40.535Z
