id;slug;name;short_name;city;capacity;latitude;longitude;source_id;source;edited
01KNAN1MNVSGZ009RH3CHFBVDA;arena-mrv;Arena MRV;Arena MRV;01KNAJYQB9CGQH8T8JB56WTZBN;44892;-19.92998;-44.01375;41245;sofascore;false
01KNBRNY9ZR0S9VXFS1SHE0WCZ;allianz-parque;Allianz Parque;Allianz Parque;01KNBRNY9YV6H7HD47S5PSWGF2;43713;-23.527497;-46.678528;15699;sofascore;false
